seq,timestamp,elapsed_hours,location,province,lat,lng,temperature_c,humidity_pct,battery_pct,event
0,2026-07-10 06:00:00,0.0,Kho lạnh Thủ Đức,TP. Hồ Chí Minh,10.850600,106.771700,-19.4,63.0,100,
1,2026-07-10 06:48:00,0.8,Biên Hòa,Đồng Nai,10.944700,106.824300,-19.8,66.0,97,
2,2026-07-10 07:36:00,1.6,Trảng Bom,Đồng Nai,10.955300,107.014800,-20.1,61.0,95,
3,2026-07-10 08:42:00,2.7,Xuân Lộc,Đồng Nai,10.924100,107.398000,-19.6,68.0,92,
4,2026-07-10 09:54:00,3.9,Hàm Tân,Bình Thuận,10.715000,107.654000,-19.2,64.0,90,
5,2026-07-10 11:24:00,5.4,Phan Thiết,Bình Thuận,10.928000,108.102000,-17.2,71.0,87,"Dừng nghỉ Phan Thiết, mở cửa khoang 6 phút - nhiệt vượt ngưỡng trên"
6,2026-07-10 13:12:00,7.2,Tuy Phong,Bình Thuận,11.283000,108.689000,-20.3,62.0,84,
7,2026-07-10 14:06:00,8.1,Cà Ná,Ninh Thuận,11.340000,108.862000,-19.7,65.0,82,
8,2026-07-10 15:00:00,9.0,Phan Rang,Ninh Thuận,11.564000,108.989000,-19.4,63.0,79,
9,2026-07-10 16:24:00,10.4,Cam Ranh,Khánh Hòa,11.921000,109.143000,-19.8,66.0,77,
10,2026-07-10 17:30:00,11.5,Nha Trang,Khánh Hòa,12.238800,109.196700,-15.8,78.0,74,"Giao một phần hàng tại Nha Trang, cửa mở 14 phút - vi phạm nghiêm trọng"
11,2026-07-10 18:36:00,12.6,Ninh Hòa,Khánh Hòa,12.493000,109.128000,-19.6,68.0,71,
12,2026-07-10 20:18:00,14.3,Tuy Hòa,Phú Yên,13.088000,109.312000,-19.2,64.0,69,
13,2026-07-10 21:36:00,15.6,Sông Cầu,Phú Yên,13.456000,109.221000,-19.9,70.0,66,
14,2026-07-10 22:48:00,16.8,Quy Nhơn,Bình Định,13.782000,109.219000,-20.3,62.0,64,
15,2026-07-11 00:24:00,18.4,Bồng Sơn,Bình Định,14.438000,109.018000,-19.7,65.0,61,
16,2026-07-11 02:18:00,20.3,Quảng Ngãi,Quảng Ngãi,15.121000,108.804000,-19.4,63.0,58,
17,2026-07-11 03:48:00,21.8,Tam Kỳ,Quảng Nam,15.573000,108.474000,-19.8,66.0,56,
18,2026-07-11 05:24:00,23.4,Đà Nẵng,Đà Nẵng,16.054400,108.202200,-17.4,69.0,53,"Đổi tài xế tại Đà Nẵng, mở cửa kiểm hàng - nhiệt vượt ngưỡng trên"
19,2026-07-11 06:06:00,24.1,Hầm Hải Vân,Thừa Thiên Huế,16.197000,108.130000,-19.6,68.0,51,
20,2026-07-11 07:30:00,25.5,Huế,Thừa Thiên Huế,16.463700,107.590900,-19.2,64.0,48,
21,2026-07-11 09:00:00,27.0,Đông Hà,Quảng Trị,16.816000,107.100000,-19.9,70.0,45,
22,2026-07-11 11:06:00,29.1,Đồng Hới,Quảng Bình,17.468000,106.622000,-22.8,58.0,43,Máy nén chạy quá công suất - nhiệt xuống dưới ngưỡng dưới
23,2026-07-11 13:36:00,31.6,Kỳ Anh,Hà Tĩnh,18.076000,106.290000,-23.4,56.0,40,"Máy nén vẫn quá lạnh, kỹ thuật chưa can thiệp"
24,2026-07-11 15:00:00,33.0,TP. Hà Tĩnh,Hà Tĩnh,18.342000,105.905700,-19.4,63.0,38,
25,2026-07-11 16:12:00,34.2,Vinh,Nghệ An,18.679000,105.681000,-19.8,66.0,35,
26,2026-07-11 17:42:00,35.7,Hoàng Mai,Nghệ An,19.262000,105.762000,-20.1,61.0,32,
27,2026-07-11 19:06:00,37.1,TP. Thanh Hóa,Thanh Hóa,19.807000,105.776000,-19.4,88.0,30,"Gioăng cửa hở, hơi ẩm lọt vào khoang - độ ẩm vượt ngưỡng"
28,2026-07-11 20:54:00,38.9,Ninh Bình,Ninh Bình,20.250000,105.975000,-19.2,64.0,27,
29,2026-07-11 21:48:00,39.8,Phủ Lý,Hà Nam,20.541000,105.913000,-19.9,70.0,25,
30,2026-07-11 23:00:00,41.0,Thường Tín,Hà Nội,20.869000,105.860000,-20.3,62.0,22,
31,2026-07-12 00:00:00,42.0,Kho lạnh Hoàng Mai,Hà Nội,20.980000,105.842000,-19.7,65.0,19,"Đến kho đích, kết thúc hành trình"
